Service Name,Status,Time,Project,Client Card
Service78,FAIL,"Jun 01, 2020 15:30:78",DS,1111112
Service79,FAIL,"Jun 01, 2020 15:30:79",NOMI,1111112
Service80,PASS,"Jun 01, 2020 15:30:80",Youth,1111112
Service81,PASS,"Jun 01, 2020 15:30:81",Mobile Banking,1111112
Service82,PASS,"Jun 01, 2020 15:30:82",DI,1111112
Service83,PASS,"Jun 01, 2020 15:30:83",DS,1111112
Service84,PASS,"Jun 01, 2020 15:30:84",NOMI,1111112
Service85,PASS,"Jun 01, 2020 15:30:85",Youth,1111112
Service86,PASS,"Jun 01, 2020 15:30:86",Mobile Banking,1111112
Service87,PASS,"Jun 01, 2020 15:30:87",DI,1111113
Service88,PASS,"Jun 01, 2020 15:30:88",DS,1111113
Service89,PASS,"Jun 01, 2020 15:30:89",NOMI,1111113
Service90,PASS,"Jun 01, 2020 15:30:90",Youth,1111113
Service91,PASS,"Jun 01, 2020 15:30:91",Mobile Banking,1111113
Service92,PASS,"Jun 01, 2020 15:30:92",DI,1111113
Service93,PASS,"Jun 01, 2020 15:30:93",DS,1111113
Service94,PASS,"Jun 01, 2020 15:30:94",NOMI,1111113
Service95,PASS,"Jun 01, 2020 15:30:95",Youth,1111113
Service96,PASS,"Jun 01, 2020 15:30:96",Mobile Banking,1111113
Service97,PASS,"Jun 01, 2020 15:30:97",DI,1111113
Service98,PASS,"Jun 01, 2020 15:30:98",DS,1111113
Service99,FAIL,"Jun 01, 2020 15:30:99",NOMI,1111113
